0,CRITICAL SENTENCE,CRITICAL SENTENCE,CRITICAL SENTENCE (SPANISH UNICODE),UNDERLYING METAPHOR,QUESTION FRAME,QUESTION FRAME(SPANISH),QUESTION FRAME (SPANISH UNICODE),CORRECT ANSWER,CORRECT ANSWER(SPANISH),CORRECT ANSWER (SPANISH UNICODE),RELATED ANSWER,RELATED ANSWER(SPANISH),RELATED ANSWER (SPANISH UNICODE),UNRELATED ANSWER 1,UNRELATED ANSWER 1(SPANISH),UNRELATED ANSWER 1 (SPANISH UNICODE),UNRELATED ANSWER 2,UNRELATED ANSWER 2(SPANISH),UNRELATED ANSWER 2(SPANISH UNICODE),SET
38,The artist was starving for recognition from the public.,El artista estaba hambriento por el reconocimiento del público.,El artista estaba hambriento por el reconocimiento del p&#250;blico.,Desire is Hunger,"In the above sentence, the artist's desire for recognition is being described in terms of: ","En la oración de arriba, el deseo de reconocimiento por el artista se describe en términos de:","En la oraci&#243;n de arriba, el deseo de reconocimiento por el artista se describe en t&#233;rminos de:",Hunger,Hambre,Hambre,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Cleanliness,Limpieza,Limpieza,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,1
39,The artist's mood lifted after selling his first painting.,El humor del artista se elevó después de vender su primera pintura.,El humor del artista se elev&#243; despu&#233;s de vender su primera pintura.,Happiness is Vertical Elevation,"In the above sentence, the artist's mood is being described in terms of: ","En la oración de arriba, el humor del artista se describe en términos de:","En la oraci&#243;n de arriba, el humor del artista se describe en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,1
40,The business was about to become another casualty of the recession.,El negocio estaba a punto de convertirse en otra víctima de la recesión.,El negocio estaba a punto de convertirse en otra v&#237;ctima de la recesi&#243;n.,Activity is Being Alive/Dead,"In the above sentence, the activity of the business is being described in terms of: ","En la oración de arriba, la actividad del negocio se describe en términos de:","En la oraci&#243;n de arriba, la actividad del negocio se describe en t&#233;rminos de:",Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,1
41,The businessman's spirits dimmed when he learned of the failed investment.,El espíritu del hombre de negocio se obscureció cuando se enteró de la inversión fracasada.,El esp&#237;ritu del hombre de negocio se obscureci&#243; cuando se enter&#243; de la inversi&#243;n fracasada.,Happiness is Brightness,"In the above sentence, the businessman's spirits are being described in terms of: ","En la oración de arriba, el espíritu del hombre de negocio se describe en términos de:","En la oraci&#243;n de arriba, el esp&#237;ritu del hombre de negocio se describe en t&#233;rminos de:",Brightness,Luminosidad(Resplandor),Luminosidad(Resplandor),Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Cleanliness,Limpieza,Limpieza,1
42,The businessman's spirits sunk when he learned of the failed investment.,El espíritu del hombre de negocio se hundió cuando se entero de la inversión fracasada.,El esp&#237;ritu del hombre de negocio se hundi&#243; cuando se entero de la inversi&#243;n fracasada.,Happiness is Vertical Elevation,"In the above sentence, the businessman's spirits are being described in terms of: ","En la oración de arriba, el espíritu del hombre de negocio se describe en términos de:","En la oraci&#243;n de arriba, el esp&#237;ritu del hombre de negocio se describe en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,1
43,The company is approaching an important benchmark of success.,La compañía se está acercando a un punto importante de éxito.,La compa&#241;&#237;a se est&#225; acercando a un punto importante de &#233;xito.,Achieving a Goal is Arriving at a Destination,"In the above sentence, achievement of success is being described in terms of: ","En la oración de arriba, el logro de éxito se describe en términos de:","En la oraci&#243;n de arriba, el logro de &#233;xito se describe en t&#233;rminos de:",Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,2
44,The corporation's revenue this year was bigger than projected.,Este año los ingresos de la corporación fueron más grandes de lo previsto.,Este a&#241;o los ingresos de la corporaci&#243;n fueron m&#225;s grandes de lo previsto.,Quantity  is Physical Size,"In the above sentence, the corporation's revenue is being described in terms of: ","En la oración de arriba, los ingresos de la compañía se describen en términos de:","En la oraci&#243;n de arriba, los ingresos de la compa&#241;&#237;a se describen en t&#233;rminos de:",Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Hunger,Hambre,Hambre,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),1
45,The corporation's revenue this year was higher than projected.,Este año los ingresos de la compañía fueron más altos de lo previsto.,Este a&#241;o los ingresos de la compa&#241;&#237;a fueron m&#225;s altos de lo previsto.,Quantity  is Vertical Elevation,"In the above sentence, the corporation's revenue is being described in terms of: ","En la oración de arriba, los ingresos de la compañía se describen en términos de:","En la oraci&#243;n de arriba, los ingresos de la compa&#241;&#237;a se describen en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Cleanliness,Limpieza,Limpieza,Holding an object,Sostener un Objeto,Sostener un Objeto,1
46,The course material is still quite unclear to the student. ,El material del curso aun no esta claro para el estudiante.,El material del curso aun no esta claro para el estudiante.,"Understanding, Knowing is Seeing something","In the above sentence, the student's understanding of the material is being described in terms of: ","En la oración de arriba, el entendimiento del material por el estudiante se describe en términos de:","En la oraci&#243;n de arriba, el entendimiento del material por el estudiante se describe en t&#233;rminos de:",Seeing something,Ver Algo,Ver Algo,Holding an Object,Sostener un Objeto,Sostener un Objeto,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),1
47,The emipirical data was only a small part of his argument. ,Los datos empíricos solo fueron una parte pequeña de su argumento.,Los datos emp&#237;ricos solo fueron una parte peque&#241;a de su argumento.,Importance is Physical Size,"In the above sentence, the importance of the empirical data is being described in terms of: ","En la oración de arriba, la importancia de los datos empíricos se describe en términos de:","En la oraci&#243;n de arriba, la importancia de los datos emp&#237;ricos se describe en t&#233;rminos de:",Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Smell,Olor,Olor,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,1
48,The energetic speaker had a firm grip on the crowd.,El conferenciante enérgico tenía un firme agarre del público.,El conferenciante en&#233;rgico ten&#237;a un firme agarre del p&#250;blico.,Being in Control is Holding an Object,"In the above sentence, the speaker's control of the crowd is being described in terms of: ","En la oración de arriba, el control del publico por el conferenciante se describe en términos de:","En la oraci&#243;n de arriba, el control del publico por el conferenciante se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Seeing something,Ver Algo,Ver Algo,1
49,The energetic speaker had power over the crowd.,El conferenciante enérgico tenía poder sobre el público.,El conferenciante en&#233;rgico ten&#237;a poder sobre el p&#250;blico.,Being in Control is Vertical Positioning,"In the above sentence, the speaker's control of the crowd is being described in terms of: ","En la oración de arriba, el control del publico por el conferenciante se describe en términos de:","En la oraci&#243;n de arriba, el control del publico por el conferenciante se describe en t&#233;rminos de:",Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Holding an Object,Sostener un Objeto,Sostener un Objeto,Hunger,Hambre,Hambre,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),2
50,The government hopes that the economy will wake up soon.,El gobierno espera que la economía se despierte pronto.,El gobierno espera que la economía se despierte pronto.,Activity is Being Asleep/Awake,"In the above sentence, the activity fo the economy is being described in terms of: ","En la oración de arriba, la actividad de a economía se describe en términos de:","En la oraci&#243;n de arriba, la actividad de a econom&#237;a se describe en t&#233;rminos de:",Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Seeing something,Ver Algo,Ver Algo,1
51,The lovers craved one another.,Los amantes se ansiaban el uno al otro.,Los amantes se ansiaban el uno al otro.,Desire is Hunger,"In the above sentence, the lovers' desire for each other is being described in terms of: ","En la oración de arriba, el deseo de los amantes por el uno al otro se describe en términos de:","En la oraci&#243;n de arriba, el deseo de los amantes por el uno al otro se describe en t&#233;rminos de:",Hunger,Hambre,Hambre,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,Holding an object,Sostener un Objeto,Sostener un Objeto,2
52,The lovers were attracted to one another.,Los amantes estaban atraídos el uno al otro.,Los amantes estaban atra&#237;dos el uno al otro.,Desire is a Physical Force,"In the above sentence, the lovers' desire for each other is being described in terms of: ","En la oración de arriba, el deseo de los amantes por el uno al otro se describe en términos de:","En la oraci&#243;n de arriba, el deseo de los amantes por el uno al otro se describe en t&#233;rminos de:",a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Hunger,Hambre,Hambre,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Cleanliness,Limpieza,Limpieza,2
53,The man had a criminal record that was stained with convictions.,El hombre tenía antecedentes penales que estaban enlodados de convicciones.,El hombre ten&#237;a antecedentes penales que estaban enlodados de convicciones.,Goodness/Badness is Cleanliness,"In the above sentence, the quality of the man's record is being described in terms of: ","En la oración de arriba, la calidad del historial del hombre se describe en términos de:","En la oraci&#243;n de arriba, la calidad del historial del hombre se describe en t&#233;rminos de:",Cleanliness,Limpieza,Limpieza,Smell,Olor,Olor,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,2
54,The man saw an opportunity for success on the horizon.,El hombre vio una oportunidad de éxito en el horizonte.,El hombre vio una oportunidad de &#233;xito en el horizonte.,Achieving a Goal is Arriving at a Destination,"In the above sentence, achievement of scucess is being described in terms of: ","En la oración de arriba, el logro de éxito se describe en términos de:","En la oraci&#243;n de arriba, el logro de &#233;xito se describe en t&#233;rminos de:",Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),2
55,The man saw an opportunity for success to grab hold of.,El hombre vio una oportunidad de agarrar éxito.,El hombre vio una oportunidad de agarrar &#233;xito.,Achieving a Goal is Acquiring a Desired Object,"In the above sentence, achievement of success is being described in terms of: ","En la oración de arriba, el logro de éxito se describe en términos de:","En la oraci&#243;n de arriba, el logro de &#233;xito se describe en t&#233;rminos de:",Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Smell,Olor,Olor,2
56,The manager thinks that the situation at work is above his head.,El gerente piensa que la situación en el trabajo está por encima de él.,El gerente piensa que la situaci&#243;n en el trabajo est&#225; por encima de &#233;l.,Being in Control is Vertical Positioning,"In the above sentence, the manager's control of the situation is being described in terms of: ","En la oración de arriba, el control de la situación por el gerente se describe en términos de:","En la oraci&#243;n de arriba, el control de la situaci&#243;n por el gerente se describe en t&#233;rminos de:",Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Holding an Object,Sostener un Objeto,Sostener un Objeto,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),2
57,The manger thinks that the situation at work is slipping away from him.,El gerente piensa que la situación en el trabajo se le está escabullendo.,El gerente piensa que la situaci&#243;n en el trabajo se le est&#225; escabullendo.,Being in Control is Holding an Object,"In the above sentence, the manager's control of the situation is being described in terms of: ","En la oración de arriba, el control de la situación por el gerente se describe en términos de:","En la oraci&#243;n de arriba, el control de la situaci&#243;n por el gerente se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Seeing something,Ver Algo,Ver Algo,1
58,The mayor's proposal gave birth to the discussion.,La propuesta del alcalde dio luz a la discusión.,La propuesta del alcalde dio luz a la discusi&#243;n.,Activity is Being Alive/Dead,"In the above sentence, the activity of the discussions is being described in terms of: ","En la oración de arriba, la actividad de las discusiones se describe en términos de:","En la oraci&#243;n de arriba, la actividad de las discusiones se describe en t&#233;rminos de:",Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Holding an object,Sostener un Objeto,Sostener un Objeto,2
59,The mayor's proposal rejuvenated the discussions.,La propuesta del alcalde rejuveneció las discusiones.,La propuesta del alcalde rejuveneci&#243; las discusiones.,Activity is Being Asleep/Awake,"In the above sentence, the activity of the discussions is being described in terms of: ","En la oración de arriba, la actividad de las discusiones se describe en términos de:","En la oraci&#243;n de arriba, la actividad de las discusiones se describe en t&#233;rminos de:",Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Smell,Olor,Olor,2
60,The music fanatic was pulled in by the band's progressive sound.,El fanático de música fue jalado por el sonido progresivo del grupo.,El fan&#225;tico de m&#250;sica fue jalado por el sonido progresivo del grupo.,Desire is a Physical Force,"In the above sentence, the music fan's appreciation of the band is being described in terms of: ","En la oración de arriba, el aprecio del grupo por el fanático de música se describe en términos de:","En la oraci&#243;n de arriba, el aprecio del grupo por el fan&#225;tico de m&#250;sica se describe en t&#233;rminos de:",a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Hunger,Hambre,Hambre,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,2
61,The music fanatic was satiated by the band's progressive sound.,El fanático de música estaba saciado por el sonido progresivo del grupo.,El fan&#225;tico de m&#250;sica estaba saciado por el sonido progresivo del grupo.,Desire is Hunger,"In the above sentence, the music fan's appreciation of the band is being described in terms of: ","En la oración de arriba, el aprecio del grupo por el fanático de música se describe en términos de:","En la oraci&#243;n de arriba, el aprecio del grupo por el fan&#225;tico de m&#250;sica se describe en t&#233;rminos de:",Hunger,Hambre,Hambre,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Holding an object,Sostener un Objeto,Sostener un Objeto,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),1
62,The police officer claimed that the issue was not under his jurisdiction.,El oficial de policía reivindicó que el asunto no estaba bajo su jurisdicción.,El oficial de polic&#237;a reivindic&#243; que el asunto no estaba bajo su jurisdicci&#243;n.,Being in Control is Vertical Positioning,"In the above sentence, the police officer's control of the issue is being described in terms of: ","En la oración de arriba, el control del asunto por el oficial de policía se describe en términos de:","En la oraci&#243;n de arriba, el control del asunto por el oficial de polic&#237;a se describe en t&#233;rminos de:",Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Holding an Object,Sostener un Objeto,Sostener un Objeto,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),Cleanliness,Limpieza,Limpieza,2
63,The police officer claimed that the issue was out of his hands.,El oficial de policía reivindicó que el asunto estaba fuera de sus manos.,El oficial de polic&#237;a reivindic&#243; que el asunto estaba fuera de sus manos.,Being in Control is Holding an Object,"In the above sentence, the police officer's control of the issue is being described in terms of: ","En la oración de arriba, el control del asunto por el oficial de policía se describe en términos de:","En la oraci&#243;n de arriba, el control del asunto por el oficial de polic&#237;a se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Hunger,Hambre,Hambre,1
64,The politician's reputation has been rotten since the scandal. ,La reputación del político has estado podrida desde el escándalo.,La reputaci&#243;n del pol&#237;tico has estado podrida desde el esc&#225;ndalo.,Goodness/Badness is Smell,"In the above sentence, the quality of the politician's reputation is being described in terms of: ","En la oración de arriba, la calidad de la reputación del político se describe en términos de:","En la oraci&#243;n de arriba, la calidad de la reputaci&#243;n del pol&#237;tico se describe en t&#233;rminos de:",Smell,Olor,Olor,Cleanliness,Limpieza,Limpieza,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,2
65,The politician's reputation has been tarnished since the scandal.,La reputación del político había sido empañada desde el escándalo.,La reputaci&#243;n del pol&#237;tico hab&#237;a sido empa&#241;ada desde el esc&#225;ndalo.,Goodness/Badness is Cleanliness,"In the above sentence, the quality of the politician's reputation is being described in terms of: ","En la oración de arriba, la calidad de la reputación del político se describe en términos de:","En la oraci&#243;n de arriba, la calidad de la reputaci&#243;n del pol&#237;tico se describe en t&#233;rminos de:",Cleanliness,Limpieza,Limpieza,Smell,Olor,Olor,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,1
66,"The port, which is the biggest commercial asset of the city, oversees the management of international trade.","El puerto, el cual es el más grande atractivo de la ciudad, supervisa la administración del comercio internacional","El puerto, el cual es el m&#225;s grande atractivo de la ciudad, supervisa la administraci&#243;n del comercio internacional.",Importance is Physical Size,"In the above sentence, the importance of the port is being described in terms of: ","En la oración de arriba, la importancia del puerto se describe en términos de:","En la oraci&#243;n de arriba, la importancia del puerto se describe en t&#233;rminos de:",Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Cleanliness,Limpieza,Limpieza,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,1
67,"The port, which is the commercial hub of the city, oversees the management of international trade.","El puerto, el cual es el núcleo comercial de la ciudad, supervisa la administración del comercio internacional.","El puerto, el cual es el n&#250;cleo comercial de la ciudad, supervisa la administraci&#243;n del comercio internacional.",Importance is Centrality in Space,"In the above sentence, the importance of the port is being described in terms of: ","En la oración de arriba, la importancia del puerto se describe en términos de:","En la oraci&#243;n de arriba, la importancia del puerto se describe en t&#233;rminos de:",Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Seeing something,Ver Algo,Ver Algo,Hunger,Hambre,Hambre,2
68,The radical political movement had only a marginal influence on mainstream society.,El radical movimiento político solo tuvo influencia marginal con la mayoría de la sociedad.,El radical movimiento pol&#237;tico solo tuvo influencia marginal con la mayor&#237;a de la sociedad.,Importance is Centrality in Space,"In the above sentence, the importance of the political movement is being described in terms of: ","En la oración de arriba, la importancia del movimiento político se describe en términos de:","En la oraci&#243;n de arriba, la importancia del movimiento pol&#237;tico se describe en t&#233;rminos de:",Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),Hunger,Hambre,Hambre,2
69,The radical political movement had only a tiny influence on mainstream society. ,El radical movimiento político solo tuvo una minúscula influencia con a mayoría de la sociedad.,El radical movimiento pol&#237;tico solo tuvo una min&#250;scula influencia con a mayor&#237;a de la sociedad.,Importance is Physical Size,"In the above sentence, the importance of the political movement is being described in terms of: ","En la oración de arriba, la importancia del movimiento político se describe en términos de:","En la oraci&#243;n de arriba, la importancia del movimiento pol&#237;tico se describe en t&#233;rminos de:",Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),2
70,The student has worked quite diligently but hasn't made it to her goal yet.,El/la estudiante ha trabajado diligentemente pero aun no ha llegado a su meta.,El/la estudiante ha trabajado diligentemente pero aun no ha llegado a su meta.,Achieving a Goal is Arriving at a Destination,"In the above sentence, achivement of the goal is being described in terms of: ","En la oración de arriba, el logro de la meta se describe en términos de:","En la oraci&#243;n de arriba, el logro de la meta se describe en t&#233;rminos de:",Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),2
71,The student has worked quite diligently but hasn't obtained her goal yet.,El/la estudiante ha trabajado diligentemente pero aun no ha obtenido su meta,El/la estudiante ha trabajado diligentemente pero aun no ha obtenido su meta,Achieving a Goal is Acquiring a Desired Object,"In the above sentence, achivement of the goal is being described in terms of: ","En la oración de arriba, el logro de la meta se describe en términos de:","En la oraci&#243;n de arriba, el logro de la meta se describe en t&#233;rminos de:",Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,2
72,The student is still fumbling with the course material.,El estudiante aun esta tratando de captar el material del curso.,El estudiante aun esta tratando de captar el material del curso.,"Understanding, Knowing is Holding an Object","In the above sentence, the student's understanding of the material is being described in terms of: ","En la oración de arriba, el entendimiento del material por el estudiante se describe en términos de:","En la oraci&#243;n de arriba, el entendimiento del material por el estudiante se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Seeing something,Ver Algo,Ver Algo,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,2
73,The student's academic record had many blemishes.,El expediente académico del estudiante tenía muchos barros.,El expediente acad&#233;mico del estudiante ten&#237;a muchos barros.,Goodness/Badness is Cleanliness,"In the above sentence, the quality of the student's record is being described in terms of: ","En la oración de arriba, la calidad del expediente del estudiante se describe en términos de:","En la oraci&#243;n de arriba, la calidad del expediente del estudiante se describe en t&#233;rminos de:",Cleanliness,Limpieza,Limpieza,Smell,Olor,Olor,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,2
74,The team's putrid performance guaranteed that they would miss the playoffs,El podrido desempeño del equipo garantizaba que perderían los juegos eliminatorios.,El podrido desempe&#241;o del equipo garantizaba que perder&#237;an los juegos eliminatorios.,Goodness/Badness is Smell,"In the above sentence, the quality of the team's performance is being described in terms of: ","En la oración de arriba, la calidad del desempeño del equipo se describe en términos de:","En la oraci&#243;n de arriba, la calidad del desempe&#241;o del equipo se describe en t&#233;rminos de:",Smell,Olor,Olor,Cleanliness,Limpieza,Limpieza,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,1
75,The woman could not fall asleep because she could not enSeeing something what her future held for her.,La mujer no podía dormir porque no podía  visualizar lo que su futuro le esperaba.,La mujer no pod&#237;a dormir porque no pod&#237;a  visualizar lo que su futuro le esperaba.,"Understanding, Knowing is Seeing something","In the above sentence, the woman's understanding of her future is being described in terms of: ","En la oración de arriba, el entendimiento de la mujer por su futuro se describe en términos de:","En la oraci&#243;n de arriba, el entendimiento de la mujer por su futuro se describe en t&#233;rminos de:",Seeing something,Ver Algo,Ver Algo,Holding an Object,Sostener un Objeto,Sostener un Objeto,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,1
76,The woman could not fall asleep because she was grappling with what her future held for her.,La mujer no podía dormir porque estaba luchando con lo que su futuro le esperaba.,La mujer no pod&#237;a dormir porque estaba luchando con lo que su futuro le esperaba.,"Understanding, Knowing is Holding an Object","In the above sentence, the woman's understanding of her future is being described in terms of: ","En la oración de arriba, el entendimiento de la mujer por su futuro se describe en términos de:","En la oraci&#243;n de arriba, el entendimiento de la mujer por su futuro se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Seeing something,Ver Algo,Ver Algo,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),1
77,"The young girl lamented, ""It's taking forever for my birthday to get here!""","La joven lamentó, “¡Se esta tomando una eternidad para que llegue mi cumpleaños!”","La joven lament&#243;, &#8220;&#161;Se esta tomando una eternidad para que llegue mi cumplea&#241;os!&#8221;",Time Periods is An Object in Motion,"In the above sentence, the birthday is being described in terms of: ","En la oración de arriba, el cumpleaños se describe en términos de:","En la oraci&#243;n de arriba, el cumplea&#241;os se describe en t&#233;rminos de:",An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,Smell,Olor,Olor,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,2
78,"The young girl lamented, ""It's taking forever to get to my birthday!""","La joven lamentó, “¡Se esta tomando una eternidad para llegar a mi cumpleaños!""","La joven lament&#243;, &#8220;&#161;Se esta tomando una eternidad para llegar a mi cumplea&#241;os!""",Time Periods is A Region in Space,"In the above sentence, the birthday is being described in terms of: ","En la oración de arriba, el cumpleaños se describe en términos de:","En la oraci&#243;n de arriba, el cumplea&#241;os se describe en t&#233;rminos de:",A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Holding an object,Sostener un Objeto,Sostener un Objeto,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),2
