source concept,target concept,source concept keywords,target concept keywords,source context words,target context words,context,polarity,score
war,governance.plusnames,"mm,gun,weapons,tank,missile,guns,weapon,rifle,fire,range","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",targets,governor;budget;budget,house budget targets pose stark contrast to governor s budget proposal,NEUTRAL,-9.670643436
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",suicide;told,romney;mitt;repeal,i told you so the definition of political suicide mitt romney will never repeal obamneycare,POSITIVE,-9.670213585
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",tour,rolls;vote,your money your values your vote bus tour rolls through virginia,NEUTRAL,-9.670123821
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",pace,obama,this year obama s running behind s record setting pace but,NEUTRAL,-9.669643231
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",video;nancy,pelosi;pelosi;behalf;dem;behalf;opponents;obama;romney,on behalf of the opponents of the dem house member and on behalf of romney showing nancy pelosi and reid and obama together and the video of pelosi saying we have to pass the law before we know what s in the law,POSITIVE,-9.66887441
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",leftover,campaign;democracy;vote,it would not well on our democracy if perry had to use some of his leftover campaign money to run don t vote for me ads,NEUTRAL,-9.668788256
war,governance.plusnames,"mm,gun,weapons,tank,missile,guns,weapon,rifle,fire,range","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",shielded,protection;require;cfpb;appropriations;congressional;congressional;dodd,it would require that the consumer financial protection bureau created by the dodd frank law be to congressional appropriations under current law the cfpb is housed in the fed and shielded from congressional oversight,NEGATIVE,-9.667992815
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",jet;fuel,republican,the thought occurred to me between intake of jack daniels jet fuel that maybe that is the center of the present asshole republican party,POSITIVE,-9.667017452
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",weighs,marriage;obama,why obama s gay marriage move weighs against his reelection,NEUTRAL,-9.666968802
chess,governance.plusnames,"gold,chess,silver,mine,coins,mining,coal,coin,currency,mines","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",dollar,vote;bills,dollar bills don t vote people vote,NEUTRAL,-9.666850298
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",flatware;dinner,legitimate;barack;license;obama;election;marriage,this could be his report cards his college transcript and his marriage license collect the whole series and commemorate the election with the barack obama fully legitimate dinner plates flatware sold separately,POSITIVE,-9.66607152
war,governance.plusnames,"mm,gun,weapons,tank,missile,guns,weapon,rifle,fire,range","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",gun,cases,gun cases are sui generis,NEUTRAL,-9.665716792
animals,governance.plusnames,"animals,animal,species,dog,horse,dogs,wild,horses,zoo,cat","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",humans,protect;obligated;federal,humans and the federal government is not obligated to protect them,NEUTRAL,-9.664991719
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",lining;silver,commerce;clause,there is no silver lining why the commerce clause is already,POSITIVE,-9.664862198
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",murdering,mitt;obamacare;rights;civil;charter;civil;mlk;romney;rights,does anyone remember mitt romney talking about civil rights yesterday like at all he did mlk but his version of civil rights seems to have been charter schools and murdering obamacare right,NEUTRAL,-9.663278424
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",burbs,moderates;obama;pro;liberals,i was born in the burbs dupage co hospital and most of my extended family still lives in chicagoland but i was raised in indiana has been doing this kind of nonsense for all of my extended family are either liberals or moderates and very likely pro obama they deserve this crap,NEUTRAL,-9.662685351
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",ultrasound,pro;gov,frc praises gov bob mcdonnell for signing pro life ultrasound bill,NEUTRAL,-9.662546152
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",health;care,voted;obama;lawyers,david bernstein correctly notes a more accurate title for this page one propaganda would be lawyers who voted for obama want his health care law to be upheld,POSITIVE,-9.66217041
religion,governance.plusnames,"buddhist,buddhism,religion,religious,god,spiritual,buddha,tibetan,pa,tradition","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",mantras,gop;romney;hold,i m with the hold my nose crowd here but romney is better than nothing though not much this whole thing reminds me of a couple of mantras at the gop convention,NEUTRAL,-9.661181291
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",nowrasteh,conservatives,institute s alex nowrasteh points out that conservatives would,NEUTRAL,-9.661058051
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",streams;crossed,gop;goldwater,its deja vu all over again i thought someone had crossed the streams when barry goldwater started decrying the craziness of the gop idiots of the late 80s,POSITIVE,-9.65992382
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",hospitals;repulsively,votes;americans;mandate;obama;quo;pro;lobbyists;tauzin;presidency,cost has a lot of merit here the individual mandate is clearly designed to buy votes with other people s money it forces millions of americans to become customers of various industries such as insurance pharma and hospitals against their will in return for which fat cat lobbyists like the repulsively smarmy billy tauzin of pharma become patrons of the obama presidency the la times described the quid pro quo below,POSITIVE,-9.659712634
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",oyster;cost;stop,obama;covered;expenses;obama;durham;officials;campaign;durham;campaign;election,the town asked that local expenses for monday s obama campaign stop be covered by the president s re election campaign durham officials had said that the visit is expected to cost the town an extra to in overtime payments obama is scheduled to speak monday at durham s oyster river high school,POSITIVE,-9.658462526
war,governance.plusnames,"regiment,corps,command,infantry,troops,battalion,commander,soldiers,attack,unit","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",neutralized,senato;issue;toomey;sen;sen;senior;senior;vote,you and the madison project are performing a valuable service for us all sen pat toomey is i expect on the right side of this issue his vote is neutralized by sen bob casey the senior pennsylvania senator,NEUTRAL,-9.657341059
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",driving;truckload,hillary;biden,bams & hillary in the trans am and biden driving the truckload of hooch dc to nc,POSITIVE,-9.656949527
sports,governance.plusnames,"hockey,basketball,nba,nhl,coach,points,ice,players,teams,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",points,democratic;mayor,points but democratic milwaukee mayor tom barrett is,NEUTRAL,-9.656698789
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",mountain,endorsements;congressional;candidate,mountain party candidate jesse johnson earns endorsements from legendary congressional mavericks,NEUTRAL,-9.655983294
farming,governance.plusnames,"text,bar,color,till,municipality,norwegian,norway,swiss,start,switzerland","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",text,presidency;romney,video text what would a romney presidency be like,NEUTRAL,-9.655710067
pathways,governance.plusnames,"highway,jersey,avenue,ny,px,interstate,washington,accessed,traffic,sr","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",baltimore;signs;signs;baltimore,abortion;regarding;ordinance;enacted;disclaimers;required;certain;issue;ordinances;required;ordinances,at issue were ordinances enacted in baltimore and montgomery county which required pccs to post signs and make certain disclaimers regarding the services they offer for example the baltimore ordinance required pccs to post signs that they do not provide or make for abortion or birth control services,POSITIVE,-9.655524838
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",severe;pushing;floor;cut;cut;rigid;pushing;push;prevent;damage;cut,session;opposed;tax;policies;taxes;compensation;budget;majority;corporations;tax;defeating;majority;majority;taxes;tax;senate;voted;amendment,instead of getting north carolinians back to work and addressing the fact that million people live in stark poverty in our state they are pushing regressive tax policies that help the wealthy and corporations at the expense of the majority at the heart of much of the damage inflicted during the session was the majority s rigid and nonsensical push to cut state taxes at a time of severe budget shortfalls and in which a large majority of the public opposed the idea not only that they then voted to give millionaires a tax cut that was to be targeted at small businesses even defeating an amendment on the senate floor that would have limited the tax cut and used the savings to prevent teacher layoffs and to fund compensation for eugenics victims,POSITIVE,-9.655182362
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",heat,poll;santorum,poll rmoney santorum in heat in michigan,NEUTRAL,-9.654311258
animals,governance.plusnames,"episode,disney,characters,animated,episodes,mr,cartoon,voice,animation,comic","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",dog,election;nominee;conservative,we have our nominee pretty much and now is the time to get anyone who is conservative to the other slots open for election from dog catcher to senator,NEUTRAL,-9.654075056
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",mpaa,infringer,so when in the us mpaa comes after another infringer haven hotfile i m not complaining,NEUTRAL,-9.653407256
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",medication;dose;insert,dole;endorsed,i mean i don t think that there s a strong enough dose of insert name of medication bob dole endorsed here but would surely trigger sis spam filter if used to get a man ready to participate in amorous activities with her,POSITIVE,-9.653404656
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",diarrhea,payer;tax;obama;deny;obama,of course obama plays the fiddle that s all he does while the us drowns in debt the only thing obama does is run around the country at tax payer expense and lie deny and blame he has diarrhea of the mouth,NEUTRAL,-9.653038769
vehicle,governance.plusnames,"engine,car,model,cars,models,ford,vehicle,engines,rear,speed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",chrysler,leader;fared;behalf;obama;obama;uaw;monies;holders;uaw,a similar pattern occurred when president obama managed one of the most unorthodox corporate bankruptcies in industrial history on behalf of the uaw gm and chrysler the uaw did well the corporate sycophants of our great leader made out as well the bond holders who should have had first dibs on bankruptcy settlement monies fared less well and were publically attacked by president obama when they pressed their claims,NEUTRAL,-9.652316526
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",trail,campaign;gingrich,campaign gingrich returns to the trail backing romney,NEUTRAL,-9.652260319
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",tea,congressional,perhaps west is to the members of his congressional tea bag class of there s about of those america hating numb skulls right,NEUTRAL,-9.651667847
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",fish,prior;hearing;mandate;license;violation,hb would mandate a court hearing for anyone convicted of a fish and game violation prior to having their license revoked,NEUTRAL,-9.651037436
war,governance.plusnames,"mm,gun,weapons,tank,missile,guns,weapon,rifle,fire,range","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",guns,politics,guns and gays frequently play a role in american politics before,NEGATIVE,-9.651002625
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",sweetened,republicans;vote,the really is a test i mean it just makes so much since given how much the canadians sweetened the deal if republicans can t vote for it it does show they are bought and paid for,NEUTRAL,-9.650966013
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",wrap;ball;rolling,romney;delegates;required;cuccinelli;obamacare;arguments;romney;romney;nomination;decision;obamacare;arguments;republicans;arguments;romney;lawsuit;nomination;arguments;argument,va atty gen ken cuccinelli the first one to a state lawsuit against obamacre believes that with a romney nomination the republicans will be giving up the argument against obamacare the arguments before the sc will be heard starting a week from today i understand that the decision may come sometime in june it has been suggested that romney won t wrap up the required number of delegates to win the nomination until juneish the focus should focus on the sc arguments and it should be even more obvious that romney was the the author of the blueprint for obamacare if takes their focus off the fact that romney started this ball rolling they should not be allowed to vote,POSITIVE,-9.650634938
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",starring,circuit;constitutional,previous post welcome to your constitutional crisis starring some weird 5th circuit judge,NEUTRAL,-9.649866266
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",millennials,republicans;vote,i m glad to see the republicans going all out to shore up the gen y vote millennials hate commies,NEUTRAL,-9.649044755
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",moves;moving;moving,reagan;regulate;obama;tax,of big government proponents reagan said if it moves they tax it if it keeps moving they regulate it and if stops moving they it to which obama added and if it barks we eat it,POSITIVE,-9.648031448
primary_metaphors,governance.plusnames,"museum,tower,stone,painting,architecture,castle,gallery,collection,palace,designed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",paint;wall,liberal;msm;romney;obama,mud on the wall msm liberal blogs team obama collude to paint romney as a felon,POSITIVE,-9.647418031
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",via,defeating;repudiating;ballot;obama,to me defeating obama repudiating teamblue via the ballot box,NEGATIVE,-9.646916102
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",tea,pelosi,are the ones that tea party etc should be replacing no one wants nancy pelosi back in charge of the house atleast no one with a,NEUTRAL,-9.646405126
sports,governance.plusnames,"hockey,basketball,nba,nhl,coach,points,ice,players,teams,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",wins,congress,the middle class wins in congress by meghan miller,NEUTRAL,-9.645036611
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",doma,amendment;obama;ballot;stood,if president obama had stood behind doma even a little chances are amendment wouldn t have been put on the ballot i hadn t thought about that part of it until i read an article earlier today,NEUTRAL,-9.644137293
animals,governance.plusnames,"episode,disney,characters,animated,episodes,mr,cartoon,voice,animation,comic","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",boy;puppet,appointed;bush;votes,as if roberts was to be our boy on the court our puppet who votes the way we want him too just because bush appointed him,POSITIVE,-9.642745404
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",energy;shock,nominee;establishment,is not the nominee there would have been so much more energy in this race people are still in shock over how the establishment won this one at the last minute,POSITIVE,-9.642371249
sick,governance.plusnames,"cells,cell,protein,dna,gene,proteins,genetic,virus,genes,acid","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",platelet;zygote,gop;rights;void;rights;protecting,but seriously the kid s out of the womb and is no longer a fetus platelet zygote or whatever the gop are protecting the rights of today so being born her rights are null and void now,POSITIVE,-9.641336216
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",bombing,santorum,rick santorum would bombing iran s nuclear facilities if they are not open to inspection,NEUTRAL,-9.640729103
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",pin,rnc;board;passed,when does the rnc pin him to their giant board of passed operatives,NEUTRAL,-9.640241564
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",wrists;investigating;troopers;arrest;testify;testify,congress;congress;washington;congressional;washington;regulation;washington;governor;rule;congressional;governor,the pharmacy regulation should be struck down for sure and the governor should be called by the washington state congress to testify as to who in blue blazes she thinks she is the moron of the year forcing the pharmacists to scrap their rule and come up with another one that suits her if the governor to testify then the washington state congress should send washington state troopers to arrest her and her in slap the on her wrists and drag her preferrably kicking screaming and wetting herself before the state s congressional investigating committee,POSITIVE,-9.640193341
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",investigation,dems,dems call for investigation of tillis,NEUTRAL,-9.638575123
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",inhumane,rep;cuts;gop;medicaid,rep insko gop push for additional cuts to state medicaid inhumane audio,NEGATIVE,-9.638485947
chess,governance.plusnames,"gold,chess,silver,mine,coins,mining,coal,coin,currency,mines","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",pence,governors,governors mike pence for indiana,NEUTRAL,-9.638125247
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",adults;adults,responsible;responsibility;leader;mcconnell;speaker;boehner;majority,can we get him to take the rest of the adults with him please although i have a hard time calling those with the bulk of the responsibility harry reid mitch mcconnell to name two as responsible adults and yes since john boehner and eric cantor have been speaker and majority leader we have added about trillion to the debt so he should go with them as well,POSITIVE,-9.638087107
plants,governance.plusnames,"species,genus,birds,plants,tree,plant,bird,trees,leaves,cm","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",infestations;tail,regulatory;obama;czars;doj;prob,anybody but obama when the the chicken s head is cut off the tail will fail and all those radical infestations in doj to the czars will be out of work and out of dc unfortunately prob off to teach their bilge at some ivy but at least out of regulatory hell,POSITIVE,-9.635941718
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",stunt,boehner,is that mario guy boehner s stunt double trump s,NEGATIVE,-9.634699433
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",hmm,hillary;secretary;clinton,hmm is hillary clinton becoming an embarrassment as secretary of state,NEUTRAL,-9.634693052
chess,governance.plusnames,"gold,chess,silver,mine,coins,mining,coal,coin,currency,mines","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",piece,mccain;feingold;overrule,court overrule mccain feingold piece by piece,NEUTRAL,-9.634561362
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",newborns;uterus,republicans;argument,well if it all just comes down to an argument about over population i m for getting rid of all the newborns who recently immigrated from the uterus to the real world where they poop and cry and annoy me on cross country flights oh and republicans for the same reasons,NEUTRAL,-9.634004336
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",races;pick,endorsements;candidates,green party candidates pick up key endorsements in state and local races across the us,POSITIVE,-9.631763181
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",pans,senate;bill,dr bill harrison pans the senate s education budget,NEUTRAL,-9.631435361
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",skipping;shock,democratic;incumbents;independent;voters,shock some democratic incumbents in need of independent voters are skipping the dnc,POSITIVE,-9.631178243
animals,governance.plusnames,"episode,disney,characters,animated,episodes,mr,cartoon,voice,animation,comic","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",turd;turd;big,amendment;duty;issue,the issue was an amendment to end the war in afghanistan a country where alcohol is forbidden then one big turd accused a smaller turd of drinking while on duty during the afghani war debate,POSITIVE,-9.630250079
electricity,governance.plusnames,"signal,frequency,systems,voltage,camera,digital,electric,electrical,wave,sound","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",evs,debating;debate;cheney;cheney,that s when you need a guy like darth cheney watching your six as it was with cheney debating the unethical lightness of being that was john edwards a vp debate would be to evs for the democrats,NEUTRAL,-9.629918333
plants,governance.plusnames,"species,genus,birds,plants,tree,plant,bird,trees,leaves,cm","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",primaried,pac;walter;ericpac;limits;conservative,cantor s pac ericpac is giving heavily to walter jones in nc3 jones is being primaried by frank palombo and he s in trouble palombo is the real deal he s running on term limits and a very conservative platform,NEUTRAL,-9.629624968
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",plates,bill,dc title sb specialty plates bill dies,NEUTRAL,-9.629549577
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",smell;mustard,scalia,whenever i see scalia s photo doctored or not i feel like he would smell of mustard and bad and that his fingers and face would be greasy,POSITIVE,-9.627880962
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",jerk,gop;governor;primary;counts;vote,not to be a jerk but i don t think getting of the vote in the gop primary counts as nearly becoming governor of alabama,NEUTRAL,-9.627551383
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",coal;energy;oil;clean,democrat;obama;speech;critz,ps who the heck gives a speech in ohio and doesn t talk about clean coal and increased oil production that was so dumb that mark critz a democrat from pennsylvania freaked out about it to the point of yelling at the president which should tell you everything that you need to know about how badly president obama is messing up energy policy,POSITIVE,-9.623740569
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",perdition,candidate;election;bloomberg,i know that bloomberg said but was a natsec election there was never a chance in perdition that the american people were going to switch to a peace candidate in the middle of a war,NEUTRAL,-9.623368377
primary_metaphors,governance.plusnames,"museum,tower,stone,painting,architecture,castle,gallery,collection,palace,designed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",drawing,redistricting;commission,the redistricting commission in drawing congressional,NEUTRAL,-9.623060783
war,governance.plusnames,"regiment,corps,command,infantry,troops,battalion,commander,soldiers,attack,unit","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",cross,vote;republican;obama;larouche;lyndon,well i was going to write in lyndon larouche again but if such a prominent republican can cross party lines like that so can i obama will be getting my vote in the fall,NEUTRAL,-9.622625132
planning,governance.plusnames,"uploaded,jpg,nov,oct,png,sep,dec,aug,jan,mar","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",nov,elections,this alone shows how important the nov elections have become,NEGATIVE,-9.622158861
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",bvg,patriot;ipso;facto,true but without bvg the patriot act would not exist ipso facto qed etc,NEUTRAL,-9.622007436
chess,governance.plusnames,"gold,chess,silver,mine,coins,mining,coal,coin,currency,mines","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",stamps,obama,obama is using his food stamps on luxuries,NEUTRAL,-9.621318887
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",pace;slowest,spending;obama;outlays,commentary government outlays rising at slowest pace since 1950s obama spending binge never happened,POSITIVE,-9.620570032
chess,governance.plusnames,"gold,chess,silver,mine,coins,mining,coal,coin,currency,mines","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",dime;nickel,sit;tax;republicans;reelected,he s got to be aggressive he s got to be big time stop this nickel and dime a couple bucks for the teachers a couple bucks for the firefighters i m going to reduce the payroll tax this is pissant you can t get reelected with tactics he needs a strategy which is we re different from the republicans they re basically free marketers who sit around and wait for business to deliver this country from hell business has let us down,POSITIVE,-9.620558895
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",mooresville,sen,sen chris carney of mooresville may face a runoff,NEUTRAL,-9.619794568
animals,governance.plusnames,"animals,animal,species,dog,horse,dogs,wild,horses,zoo,cat","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",humans;kids,santorum,santorum is so homophobic his kids are taught in homeschool science class that humans are hetero sapiens,POSITIVE,-9.618718415
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",edged,bachmann;uphold;opinion;judicial,also his double edged spoon approach is similar to michele bachmann s opinion which was that roberts is now in charge of an activist court because now it s apparently judicial activism to uphold a law,NEUTRAL,-9.618357408
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",shows;casting,establishment;voted;delegation;voted;republicans;bill;bill;passed;republicans;republican;vote;senate;establishment;billy;congressional;candidate,establishment republicans this bill as it eventually passed in the house sadly for those of us in missouri the congressional record shows that with the exception of billy long the entire missouri republican delegation voted for the bill among those casting a yea vote from missouri was now establishment senate candidate todd akin,POSITIVE,-9.617949132
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",miami,ethics;lawmaker,the ethics behind the miami lawmaker trip,NEUTRAL,-9.615579436
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",shackled;escape,republican;vouchers;federal;voucher;bush;vouchers;republican;bill;private;leadership;congress,in another republican controlled congress under the leadership of republican president george w bush signed an omnibus bill that included a voucher program for school children right here in the district of columbia instead of being shackled to the failed public school system thousands of students were able to use the first federal government vouchers to escape high performing private schools,POSITIVE,-9.615571374
